id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Pulse,Volt Synth,electronic,energetic,0.89,130,0.72,0.92,0.02
12,Funkadellic Groove,Soul Collectors,funk,playful,0.84,120,0.85,0.90,0.15
13,Piano Reflections,Ivory Keys,classical,melancholic,0.20,60,0.35,0.08,0.96
14,Lonesome Highway,Dusty Roads,country,melancholic,0.52,100,0.38,0.45,0.82
15,Beat Drop Heavy,Urban Echo,hip-hop,intense,0.79,96,0.48,0.75,0.12
16,Velvet Nights,Smooth Vibes,rnb,romantic,0.48,85,0.72,0.68,0.40
17,Electric Rebellion,The Alternates,alternative rock,energetic,0.87,145,0.65,0.64,0.18
18,Island Breeze,Reggae Vibes,reggae,relaxed,0.44,95,0.78,0.65,0.68
